Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
¿Qué agente es responsable de enrutar mensajes entre servidores?,MUA (Mail User Agent),MTA (Mail Transport Agent),MDA (Mail Delivery Agent),MSA (Mail Submission Agent),30,2
¿Cuál es el puerto estándar para SMTP Submission (MUA a MTA)?,25,465,587,993,30,3
¿Qué registro DNS especifica el servidor de correo de un dominio?,A (Address),MX (Mail Exchanger),PTR (Pointer),CNAME (Canonical Name),30,2
¿Qué protocolo sincroniza las carpetas del servidor con el cliente?,SMTP,POP3,IMAP,HTTP,30,3
¿Qué comando SMTP inicia la transferencia del contenido del correo?,MAIL FROM,RCPT TO,DATA,EHLO,30,3
¿Qué significa el código de respuesta SMTP 550?,Servicio listo,Acción completada,Buzón no disponible / Acceso denegado,Servicio no disponible temporalmente,30,3
¿Qué registro SPF indica un SoftFail si la IP no está autorizada?,-all,~all,+all,?all,30,2
¿En qué archivo de Postfix se habilitan servicios como smtps o submission?,main.cf,master.cf,aliases,virtual,30,2
¿Qué extensión permite enviar archivos binarios por correo?,SMTP,MIME,ASCII,UTF-8,30,2
¿Qué herramienta se usa para generar firmas DKIM en Postfix?,SpamAssassin,OpenDKIM,ClamAV,Amavis,30,2
¿Qué protocolo de acceso descarga los correos y suele borrarlos del servidor?,SMTP,IMAP,POP3,LMTP,30,3
¿Cuál es el puerto estándar de IMAP cifrado con SSL/TLS (IMAPS)?,143,993,995,587,30,2
¿Qué directiva de Postfix define qué dominios se entregan localmente?,myhostname,mynetworks,mydestination,relayhost,30,3
¿Qué comando SMTP se usa para finalizar la conexión?,EXIT,CLOSE,QUIT,BYE,30,3
¿Qué es un Open Relay?,Un servidor muy rápido,Un servidor que permite reenviar correo a cualquiera,Un servidor con cifrado,Un servidor con autenticación,30,2
¿Qué registro DNS asocia una IP con un nombre de dominio (inversa)?,A,MX,PTR,TXT,30,3
¿Qué protocolo añade una capa de autenticación a SMTP e IMAP?,TLS,SSL,SASL,OAuth,30,3
¿Cuál es la principal ventaja de Maildir sobre mbox?,Ocupa menos espacio,Es más rápido,No requiere bloqueo de archivos (locking),Es más antiguo,30,3
¿Qué tag de DMARC indica la dirección para informes agregados?,ruf,rua,p,sp,30,2
¿Qué motor de filtrado usa reglas bayesianas para detectar spam?,ClamAV,Amavis,SpamAssassin,Postfix,30,3
¿Qué significa el código SMTP 250?,Error temporal,Acción completada correctamente,Buzón lleno,Conexión rechazada,30,2
¿Qué puerto usa POP3 de forma segura (SSL/TLS)?,110,995,993,465,30,2
¿Qué cabecera técnica rastrea cada salto de un correo?,From,To,Received,Subject,30,3
¿Qué comando se usa en Debian para refrescar los aliases de correo?,postfix reload,newaliases,postmap,postqueue,30,2
¿Qué es el Greylisting?,Filtro de virus,Rechazo temporal de correos de remitentes desconocidos,Lista negra permanente,Cifrado de mensajes,30,2
¿Qué estándar protege el cuerpo del mensaje de ser alterado?,SPF,DKIM,DMARC,TLS,30,2
¿Qué protocolo usa Mailman para hablar con Postfix?,SMTP,IMAP,LMTP,POP3,30,3
¿Cuál es la política DMARC más estricta?,p=none,p=quarantine,p=reject,p=monitor,30,3
¿Qué comando SMTP permite verificar si existe un usuario en el sistema?,EXPN,VRFY,RCPT,MAIL,30,2
¿Qué puerto usa SMTP para transporte entre servidores (sin cifrado obligatorio)?,25,465,587,993,30,1
